OrderNr;ArticleAmount_[#];CostOfOrder_[€];SalesOfOrder_[€];CostOfTransport_[€];TotalMass_[kG];Distance_[kM];OriginWarehouse;Date;Time
2858;11;11,65;12,95;1,04;3,2;68; Rotterdam;30-11-2021;17:30
2859;8;17,96;19,95;1,18;3,2;72; Rotterdam;31-12-2021;17:30
2860;10;15,61;17,95;0,96;2,6;70; Nijmegen;30-9-2021;12:30
2861;9;8,61;9,95;1,04;3,5;73; Utrecht;31-12-2021;12:30
2862;5;18,51;20,95;1,13;2,7;69; Den Haag ('s-Gravenhage);31-3-2021;12:30
2863;8;10,3;11,95;0,93;2,5;56; Den Haag ('s-Gravenhage);31-7-2021;12:30
2864;8;17,3;19,95;0,77;2,9;52; Rotterdam;30-9-2021;17:30
2865;11;14,46;16,95;1,25;3,2;92; Groningen;1-11-2021;17:30
2866;12;20,4;23,95;0,68;2,9;48; Rotterdam;31-8-2021;12:30
2867;4;21,3;23,95;0,79;3,2;52; Utrecht;31-7-2021;17:30
2868;9;21,5;23,95;0,82;3,5;55; Den Haag ('s-Gravenhage);31-12-2021;12:30
2869;10;12,41;13,95;1,08;3,6;67; Den Haag ('s-Gravenhage);30-4-2021;17:30
2870;9;9,68;10,95;1,4;3,2;87; Eindhoven;31-8-2021;17:30
2871;7;7,98;8,95;0,66;3,7;40; Den Haag ('s-Gravenhage);31-12-2021;17:30
2872;12;17,9;19,95;1,2;2,2;83; Den Haag ('s-Gravenhage);30-4-2021;17:30
2873;11;19,32;22,95;0,87;2,6;55; Den Haag ('s-Gravenhage);30-11-2021;8:30
2874;11;17,53;19,95;0,75;2;57; Amsterdam;30-11-2021;12:30
2875;8;13,86;15,95;0,78;2,3;54; Utrecht;31-12-2021;17:30
2876;11;9,47;10,95;0,83;2,3;54; Rotterdam;30-4-2021;12:30
2877;12;7,4;8,95;1,28;1,9;88; Groningen;31-5-2021;8:30
2878;11;17,48;19,95;0,79;3,4;49; Groningen;30-11-2021;8:30
2879;4;9,11;10,95;0,64;3,3;42; Den Haag ('s-Gravenhage);1-11-2021;17:30
2880;8;18,22;19,95;0,88;3,1;57; Rotterdam;30-9-2021;12:30
2881;11;10,89;11,95;0,72;2,6;47; Den Haag ('s-Gravenhage);1-2-2021;17:30
2882;5;18,13;20,95;1,29;3,7;80; Breda;1-11-2021;17:30
2883;5;13,94;16,95;1,25;2,4;76; Den Haag ('s-Gravenhage);1-11-2021;12:30
2884;12;15,31;16,95;0,99;2,8;76; Nijmegen;30-11-2021;12:30
2885;7;17,26;19,95;0,99;2,7;64; Rotterdam;31-12-2021;17:30
2886;8;17,77;19,95;0,65;2,5;51; Utrecht;30-11-2021;17:30
2887;10;8,53;9,95;0,86;2,2;56; Eindhoven;30-11-2021;17:30
2888;6;10,15;10,95;1,09;2,9;73; Den Haag ('s-Gravenhage);31-3-2021;8:30
2889;7;19,55;22,95;0,84;3;52; Utrecht;30-11-2021;12:30
2890;7;18,17;20,95;0,95;3,1;62; Groningen;31-12-2021;17:30
2891;8;18,35;20,95;1,36;3,8;86; Groningen;1-11-2021;17:30
2892;6;13,21;14,95;0,97;2,5;68; Tilburg;30-4-2021;17:30
2893;9;16,94;18,95;1,13;2,1;84; Nijmegen;31-12-2021;12:30
2894;9;16,36;17,95;1,12;2,5;84; Groningen;31-3-2021;12:30
2895;10;15,34;17,95;1,18;3,3;75; Groningen;31-8-2021;8:30
2896;7;20,4;22,95;1,34;3,3;83; Den Haag ('s-Gravenhage);30-4-2021;8:30
2897;5;19,91;21,95;0,71;2,2;50; Den Haag ('s-Gravenhage);31-12-2021;17:30
2898;7;10,57;11,95;0,82;2,3;55; Tilburg;31-12-2021;17:30
2899;8;14,45;16,95;0,9;3,3;56; Utrecht;31-5-2021;17:30
2900;9;10,38;11,95;1,1;2,5;71; Den Haag ('s-Gravenhage);31-12-2021;12:30
2901;4;10,61;11,95;1,23;2;75; Eindhoven;31-8-2021;17:30
2902;12;22,11;24,95;1,01;2,7;78; Den Haag ('s-Gravenhage);31-12-2021;17:30
2903;8;21,16;23,95;1,03;2,6;76; Groningen;30-11-2021;12:30
2904;6;12,3;13,95;0,96;2,2;59; Rotterdam;30-11-2021;12:30
2905;10;9,46;10,95;1,09;2;65; Den Haag ('s-Gravenhage);31-12-2021;17:30
2906;9;16,65;18,95;1,2;3,1;94; Groningen;30-6-2021;17:30
2907;10;10,77;12,95;1,13;2;69; Tilburg;30-9-2021;12:30
2908;10;19,95;21,95;1,3;3;85; Rotterdam;31-12-2021;17:30
2909;5;8,2;9,95;0,92;2,4;67; Amsterdam;30-9-2021;12:30
2910;9;24,71;26,95;0,93;2,8;70; Den Haag ('s-Gravenhage);31-3-2021;12:30
2911;8;23,2;25,95;1,21;3,2;75; Rotterdam;31-12-2021;17:30
2912;11;15,46;17,95;0,77;3;55; Den Haag ('s-Gravenhage);31-12-2021;12:30
2913;5;16,18;17,95;1,08;2,5;70; Eindhoven;31-12-2021;8:30
2914;7;11,36;12,95;0,81;3,2;54; Tilburg;30-11-2021;8:30
2915;12;12,5;14,95;1,37;3,1;82; Utrecht;30-9-2021;8:30
2916;9;11,59;12,95;1,03;2,3;76; Utrecht;31-12-2021;12:30
2917;4;22,54;25,95;1,25;3,3;92; Breda;30-11-2021;17:30
2918;8;10,03;10,95;0,85;2,7;61; Den Haag ('s-Gravenhage);31-12-2021;17:30
2919;5;14,12;16,95;1,19;3;73; Rotterdam;1-11-2021;12:30
2920;6;17,71;19,95;1,33;2,7;88; Breda;31-12-2021;8:30
2921;4;13,04;14,95;1,04;2;74; Rotterdam;31-3-2021;12:30
2922;11;11,94;13,95;0,87;2,4;62; Den Haag ('s-Gravenhage);31-8-2021;8:30
2923;8;17;18,95;0,71;3;46; Rotterdam;30-9-2021;12:30
2924;7;17,85;19,95;0,94;3,1;72; Rotterdam;31-7-2021;17:30
2925;5;16,18;17,95;1,23;2,1;85; Rotterdam;1-11-2021;17:30
2926;11;13,85;15,95;1,26;1,6;75; Amsterdam;31-12-2021;12:30
2927;6;6,97;7,95;1,11;3;78; Tilburg;1-11-2021;17:30
2928;12;18,75;20,95;1,06;2,5;78; Den Haag ('s-Gravenhage);30-11-2021;17:30
2929;11;11,57;13,95;0,87;2,9;61; Den Haag ('s-Gravenhage);31-5-2021;17:30
2930;8;21,88;23,95;1,07;2,9;64; Eindhoven;31-12-2021;12:30
2931;9;7,76;8,95;0,84;2,3;63; Utrecht;30-6-2021;8:30
2932;11;19,15;20,95;1,3;3,2;81; Utrecht;1-11-2021;8:30
2933;4;10,35;11,95;0,96;2,6;68; Eindhoven;1-11-2021;17:30
2934;10;16,82;18,95;1,39;2,8;87; Utrecht;30-4-2021;17:30
2935;7;7,06;7,95;0,89;3;61; Den Haag ('s-Gravenhage);1-11-2021;17:30
2936;6;13,31;15,95;1,4;2,9;87; Utrecht;1-3-2021;8:30
2937;4;24,95;27,95;0,98;2,3;65; Groningen;30-11-2021;12:30
2938;5;10,09;11,95;1,16;3;83; Eindhoven;30-11-2021;17:30
2939;9;13,05;14,95;1,07;2,4;71; Den Haag ('s-Gravenhage);30-4-2021;17:30
2940;13;8,78;10,95;1,07;2,9;77; Den Haag ('s-Gravenhage);30-4-2021;17:30
2941;8;13,32;14,95;0,69;3,1;54; Breda;31-12-2021;8:30
2942;7;13,11;14,95;1,35;3;94; Eindhoven;30-9-2021;12:30
2943;7;11,09;12,95;1,06;2,4;65; Eindhoven;31-8-2021;17:30
2944;10;20,61;22,95;0,77;3,2;55; Den Haag ('s-Gravenhage);30-9-2021;17:30
2945;8;9,29;10,95;0,85;2,3;60; Den Haag ('s-Gravenhage);30-4-2021;17:30
2946;8;17,35;19,95;0,97;3,1;63; Tilburg;31-12-2021;17:30
2947;9;9,35;10,95;1,15;2,9;87; Utrecht;1-2-2021;12:30
2948;9;12,23;13,95;0,93;2,6;73; Rotterdam;30-11-2021;12:30
2949;6;17,96;19,95;1,26;2,6;77; Den Haag ('s-Gravenhage);30-11-2021;17:30
2950;4;14,24;16,95;0,97;3,3;76; Amsterdam;30-11-2021;17:30
2951;11;11,36;12,95;0,61;2,3;44; Eindhoven;30-11-2021;8:30
2952;8;17,36;19,95;1,02;3,5;66; Groningen;31-3-2021;8:30
2953;11;13,8;15,95;0,75;3;53; Rotterdam;31-12-2021;17:30
2954;5;19,52;21,95;0,87;3,1;63; Den Haag ('s-Gravenhage);30-6-2021;8:30
2955;4;9,44;10,95;0,97;2,5;71; Tilburg;1-11-2021;12:30
2956;8;13,13;14,95;1,05;2,6;82; Rotterdam;31-8-2021;8:30
2957;7;14,45;16,95;0,54;3,5;35; Den Haag ('s-Gravenhage);31-12-2021;17:30
2958;12;23,22;25,95;0,92;2,9;60; Rotterdam;31-12-2021;17:30
2959;5;15,56;17,95;0,92;3;71; Rotterdam;31-8-2021;17:30
2960;6;13,88;15,95;0,91;1,8;70; Groningen;31-12-2021;17:30
2961;12;14,99;17,95;0,87;3,1;66; Eindhoven;30-11-2021;8:30
2962;6;13,45;15,95;1,28;3,2;84; Den Haag ('s-Gravenhage);31-12-2021;17:30
2963;8;15,49;17,95;1,11;3,4;83; Groningen;1-11-2021;12:30
2964;11;9,29;10,95;1,33;3,2;82; Groningen;30-11-2021;17:30
2965;13;9,93;11,95;0,81;3,1;61; Amsterdam;30-9-2021;12:30
2966;11;16,98;18,95;0,85;2,9;53; Den Haag ('s-Gravenhage);31-3-2021;17:30
2967;10;7,85;8,95;0,99;2,9;62; Den Haag ('s-Gravenhage);30-9-2021;17:30
2968;8;13,26;14,95;0,84;3;55; Amsterdam;31-5-2021;8:30
2969;7;16,71;19,95;1,18;2,5;83; Tilburg;1-11-2021;12:30
2970;7;12,07;13,95;1,12;2,4;85; Amsterdam;30-11-2021;12:30
2971;6;9,17;10,95;1,28;2,6;92; Rotterdam;1-11-2021;12:30
2972;11;12,83;13,95;0,83;2,5;53; Rotterdam;1-11-2021;12:30
2973;12;8,95;10,95;1,28;3,3;83; Eindhoven;30-4-2021;17:30
2974;4;17,65;19,95;1,13;2,9;77; Den Haag ('s-Gravenhage);30-9-2021;12:30
2975;12;17,18;19,95;1,45;3,1;97; Den Haag ('s-Gravenhage);1-11-2021;12:30
2976;8;16,44;17,95;0,87;4,4;55; Utrecht;30-11-2021;8:30
2977;12;11,83;12,95;1,05;1,5;63; Rotterdam;31-12-2021;17:30
2978;8;22,39;24,95;1,29;3,6;80; Rotterdam;30-11-2021;17:30
2979;6;9,41;10,95;1,33;2,8;88; Rotterdam;30-11-2021;12:30
2980;10;11,06;12,95;1,08;2,8;75; Groningen;31-12-2021;8:30
2981;9;13,56;15,95;0,77;2,1;53; Eindhoven;1-11-2021;17:30
2982;4;19,34;21,95;1,01;2,8;63; Den Haag ('s-Gravenhage);1-2-2021;17:30
2983;11;14,27;16,95;1,24;2,2;92; Rotterdam;30-9-2021;12:30
2984;9;13,51;14,95;0,91;3,4;61; Den Haag ('s-Gravenhage);31-12-2021;8:30
2985;9;16,15;18,95;1;2,7;74; Den Haag ('s-Gravenhage);1-3-2021;12:30
2986;7;8,64;9,95;0,93;3;66; Amsterdam;30-11-2021;8:30
2987;7;17,85;19,95;0,78;3,3;47; Amsterdam;31-12-2021;8:30
2988;10;8,88;9,95;0,94;3,5;66; Eindhoven;30-11-2021;12:30
2989;6;10,37;11,95;1;3;67; Den Haag ('s-Gravenhage);31-12-2021;8:30
2990;5;18,14;19,95;1,33;2,4;93; Utrecht;31-12-2021;17:30
2991;7;16,77;19,95;0,94;1,8;69; Den Haag ('s-Gravenhage);30-4-2021;8:30
2992;11;12,21;14,95;1,12;3;71; Den Haag ('s-Gravenhage);31-12-2021;8:30
2993;7;11,82;12,95;0,7;2,7;50; Groningen;30-9-2021;17:30
2994;8;17,51;19,95;1,27;2,2;91; Groningen;30-4-2021;17:30
2995;7;14,84;16,95;0,75;3,4;58; Breda;1-3-2021;8:30
2996;10;17,19;19,95;1,33;2,7;88; Eindhoven;1-11-2021;8:30
2997;6;18,75;21,95;1,13;2,2;80; Den Haag ('s-Gravenhage);31-12-2021;17:30
2998;4;14,15;15,95;1,04;3;73; Rotterdam;31-12-2021;12:30
2999;5;11,62;12,95;0,96;2,5;59; Utrecht;31-12-2021;8:30
3000;9;14,86;16,95;1,23;2,3;79; Amsterdam;30-4-2021;12:30
3001;11;10,84;12,95;1,11;3,1;74; Utrecht;1-11-2021;8:30
3002;11;16,76;18,95;0,78;3,2;57; Amsterdam;31-12-2021;12:30
3003;5;17,18;19,95;0,88;2,9;62; Amsterdam;30-11-2021;17:30
3004;5;18,68;20,95;0,56;2,4;42; Utrecht;1-11-2021;17:30
3005;8;14,68;16,95;0,94;3;72; Den Haag ('s-Gravenhage);30-11-2021;12:30
3006;9;15,24;16,95;0,98;2;73; Tilburg;31-12-2021;12:30
3007;9;14,03;15,95;0,68;2,1;49; Groningen;1-3-2021;17:30
3008;5;8,49;9,95;1,2;2,6;77; Rotterdam;1-2-2021;12:30
3009;8;16,28;17,95;1,25;3,2;82; Den Haag ('s-Gravenhage);30-4-2021;17:30
3010;4;12,2;13,95;1;2,3;73; Rotterdam;30-11-2021;17:30
3011;8;19,74;21,95;0,72;2,7;47; Den Haag ('s-Gravenhage);30-9-2021;17:30
3012;8;18,58;20,95;0,92;2;63; Rotterdam;1-11-2021;8:30
3013;12;20,24;23,95;1,14;3,2;71; Rotterdam;31-3-2021;17:30
3014;12;18,14;19,95;0,98;2,7;74; Groningen;30-11-2021;12:30
3015;10;10,71;12,95;0,81;2,9;59; Utrecht;31-12-2021;8:30
3016;7;8,87;9,95;1,25;2,8;82; Groningen;1-11-2021;12:30
3017;4;22,98;26,95;0,95;2;64; Rotterdam;1-11-2021;12:30
3018;12;10,42;11,95;0,65;2,8;47; Rotterdam;30-9-2021;12:30
3019;8;18,5;20,95;1,41;2,8;88; Groningen;30-9-2021;8:30
3020;8;15,33;17,95;1,36;1,7;82; Amsterdam;30-4-2021;8:30
3021;5;9,37;10,95;0,76;2,3;56; Groningen;31-12-2021;12:30
3022;7;14,46;16,95;0,74;2,7;52; Rotterdam;1-11-2021;12:30
3023;5;16,13;17,95;1,05;3;74; Utrecht;31-12-2021;8:30
3024;9;14,67;16,95;0,83;2,9;51; Eindhoven;31-3-2021;17:30
3025;8;21,47;24,95;0,73;2,5;54; Den Haag ('s-Gravenhage);31-12-2021;17:30
3026;13;13,4;15,95;0,89;2,4;62; Den Haag ('s-Gravenhage);1-11-2021;12:30
3027;11;18,58;20,95;0,73;2,4;51; Rotterdam;31-12-2021;12:30
3028;8;18,51;21,95;0,9;3,6;71; Groningen;30-11-2021;12:30
3029;10;15;16,95;0,95;3,1;65; Den Haag ('s-Gravenhage);31-12-2021;8:30
3030;8;16;18,95;1,29;2,2;81; Groningen;1-3-2021;17:30
3031;8;18,93;20,95;0,75;2,9;59; Rotterdam;31-8-2021;17:30
3032;12;13,67;14,95;1,18;2,3;76; Groningen;30-9-2021;12:30
3033;6;12,9;14,95;0,98;2,3;72; Amsterdam;30-4-2021;8:30
3034;5;18,09;19,95;1,12;3,1;88; Den Haag ('s-Gravenhage);1-11-2021;17:30
3035;10;15,04;16,95;1,08;2,7;84; Den Haag ('s-Gravenhage);30-9-2021;8:30
3036;14;17,6;20,95;1,01;2,7;74; Den Haag ('s-Gravenhage);31-3-2021;12:30
3037;9;13,9;15,95;1,03;3,5;75; Eindhoven;31-12-2021;12:30
3038;8;9,97;10,95;0,91;1,5;63; Den Haag ('s-Gravenhage);30-4-2021;12:30
3039;4;9,97;11,95;1,14;3,3;85; Rotterdam;30-9-2021;12:30
3040;11;20,11;21,95;0,9;2,2;61; Utrecht;30-11-2021;17:30
3041;4;19,97;21,95;1,4;2,1;89; Amsterdam;31-12-2021;8:30
3042;8;10,05;11,95;1,07;2,9;65; Amsterdam;1-3-2021;8:30
3043;6;9,57;10,95;1,32;2;84; Rotterdam;30-6-2021;12:30
3044;9;16,74;18,95;1,01;1,8;79; Utrecht;31-12-2021;12:30
3045;7;13,04;14,95;1,29;3,1;94; Amsterdam;30-4-2021;8:30
3046;10;13,25;14,95;1,16;3;78; Den Haag ('s-Gravenhage);31-12-2021;8:30
3047;5;15,65;16,95;0,96;2,1;62; Eindhoven;1-11-2021;17:30
3048;7;19,16;21,95;0,88;2;59; Rotterdam;30-4-2021;17:30
3049;14;9,78;10,95;0,99;2,1;63; Utrecht;30-9-2021;12:30
3050;9;16,22;17,95;1,11;2,1;70; Eindhoven;31-3-2021;17:30
3051;9;10,95;12,95;1,15;3,5;75; Tilburg;30-4-2021;17:30
3052;9;20,35;23,95;0,97;2,8;66; Den Haag ('s-Gravenhage);31-7-2021;17:30
3053;9;9,6;10,95;1,1;2,8;68; Breda;1-2-2021;12:30
3054;10;15,88;17,95;0,94;2,7;62; Amsterdam;1-11-2021;8:30
3055;5;9,11;10,95;1,1;2,3;85; Den Haag ('s-Gravenhage);30-11-2021;12:30
3056;7;16,05;17,95;0,81;3,4;61; Utrecht;1-11-2021;8:30
3057;11;19,52;22,95;0,94;2,9;57; Eindhoven;30-11-2021;8:30
3058;12;11,95;13,95;1,33;1,9;89; Breda;30-11-2021;12:30
3059;4;9,83;10,95;0,91;3;55; Rotterdam;1-11-2021;17:30
3060;6;12,07;13,95;1,02;2,8;79; Tilburg;1-11-2021;8:30
3061;5;12,64;13,95;1,15;3,6;76; Den Haag ('s-Gravenhage);31-12-2021;12:30
3062;3;16,26;18,95;1,48;2,8;96; Groningen;31-12-2021;12:30
3063;6;20,96;23,95;0,83;3,8;59; Utrecht;1-11-2021;17:30
3064;9;7,47;8,95;1,09;2,9;77; Den Haag ('s-Gravenhage);1-11-2021;12:30
3065;7;8,49;9,95;0,96;2,2;62; Rotterdam;30-9-2021;17:30
3066;7;15,9;17,95;1,31;3,5;89; Rotterdam;31-12-2021;17:30
3067;8;15,13;16,95;0,97;3,1;73; Eindhoven;30-11-2021;12:30
3068;11;7,49;8,95;0,96;2,8;70; Den Haag ('s-Gravenhage);31-12-2021;17:30
3069;8;12,02;13,95;0,9;3;64; Eindhoven;31-12-2021;8:30
3070;8;17,63;20,95;0,94;2;70; Utrecht;31-12-2021;8:30
3071;4;13,57;14,95;0,91;1,8;71; Rotterdam;31-12-2021;17:30
3072;8;6,64;7,95;0,85;2,7;60; Rotterdam;30-11-2021;12:30
3073;6;9,57;10,95;0,94;2,2;71; Eindhoven;31-5-2021;12:30
3074;10;14,74;16,95;1,03;2,6;70; Den Haag ('s-Gravenhage);30-11-2021;17:30
3075;6;16,74;19,95;0,8;3,6;52; Den Haag ('s-Gravenhage);31-12-2021;8:30
3076;9;10,26;11,95;0,86;2,6;56; Den Haag ('s-Gravenhage);31-5-2021;12:30
3077;6;14,07;15,95;0,89;3,3;56; Tilburg;31-12-2021;17:30
3078;10;17,04;19,95;1,03;2,5;80; Den Haag ('s-Gravenhage);1-11-2021;8:30
3079;7;16,54;18,95;0,68;1,7;43; Den Haag ('s-Gravenhage);1-3-2021;8:30
3080;4;12,18;13,95;1,22;2,3;74; Groningen;31-12-2021;8:30
3081;9;18,49;21,95;1;3,1;72; Rotterdam;31-7-2021;17:30
3082;11;16,81;18,95;0,87;2,5;68; Den Haag ('s-Gravenhage);30-4-2021;17:30
3083;9;15,77;17,95;1,16;2,5;82; Groningen;31-12-2021;8:30
3084;8;12,63;13,95;1,12;2,7;69; Groningen;1-11-2021;12:30
3085;11;20,16;21,95;0,73;3;54; Den Haag ('s-Gravenhage);30-11-2021;17:30
3086;4;19,76;22,95;0,93;3,2;60; Den Haag ('s-Gravenhage);31-8-2021;12:30
3087;11;19,21;21,95;0,95;3,6;66; Amsterdam;30-11-2021;8:30
3088;8;15,81;18,95;0,97;2,4;75; Rotterdam;1-11-2021;12:30
3089;8;22,51;24,95;0,74;3,1;56; Eindhoven;31-12-2021;12:30
3090;10;15,49;17,95;0,92;3,7;64; Den Haag ('s-Gravenhage);30-9-2021;12:30
3091;10;18,82;21,95;0,98;3,8;74; Den Haag ('s-Gravenhage);31-7-2021;8:30
3092;11;9,37;10,95;0,87;3,3;68; Amsterdam;31-12-2021;8:30
3093;6;13,28;14,95;0,99;2,2;74; Den Haag ('s-Gravenhage);31-12-2021;12:30
3094;6;23,14;26,95;1,23;2,3;74; Eindhoven;31-12-2021;12:30
3095;9;19,88;21,95;1,09;3,6;68; Den Haag ('s-Gravenhage);30-11-2021;8:30
3096;4;10,2;11,95;1,11;3,3;75; Amsterdam;30-11-2021;8:30
3097;13;20,8;23,95;1,05;2,3;63; Den Haag ('s-Gravenhage);30-11-2021;8:30
3098;7;18,32;20,95;0,98;3,2;70; Utrecht;31-3-2021;8:30
3099;10;15,51;17,95;0,86;2,2;65; Amsterdam;31-12-2021;8:30
3100;7;8,2;9,95;1,03;2,4;76; Eindhoven;31-12-2021;8:30
3101;11;19,67;21,95;0,94;2,8;63; Den Haag ('s-Gravenhage);30-11-2021;12:30
3102;5;15,08;17,95;1,07;3,3;84; Den Haag ('s-Gravenhage);31-12-2021;12:30
3103;6;22,11;24,95;0,83;1,9;58; Eindhoven;31-12-2021;8:30
3104;11;18,27;21,95;0,79;3,1;58; Den Haag ('s-Gravenhage);30-9-2021;12:30
3105;10;12,02;13,95;1,11;3,1;72; Den Haag ('s-Gravenhage);30-11-2021;17:30
3106;6;18,73;21,95;0,5;2,6;36; Groningen;1-3-2021;8:30
3107;9;21,25;24,95;1,14;2,7;68; Den Haag ('s-Gravenhage);1-11-2021;17:30
3108;10;16,4;18,95;1,07;3,1;81; Den Haag ('s-Gravenhage);30-11-2021;8:30
3109;10;13,59;15,95;1,11;3,2;72; Amsterdam;1-11-2021;8:30
3110;11;19,59;21,95;1,01;3,8;73; Tilburg;31-12-2021;17:30
3111;12;11,53;12,95;1,05;3,7;66; Rotterdam;1-3-2021;17:30
3112;7;22,98;25,95;0,9;2,8;54; Den Haag ('s-Gravenhage);30-6-2021;8:30
3113;8;14,68;16,95;0,64;3,6;50; Tilburg;30-9-2021;17:30
3114;9;16,4;17,95;1,04;3,3;82; Den Haag ('s-Gravenhage);30-11-2021;12:30
3115;11;13,44;14,95;1,23;3,2;82; Utrecht;1-2-2021;8:30
3116;11;22,04;23,95;1,19;2,9;85; Groningen;30-9-2021;12:30
3117;7;23,14;25,95;0,98;2,1;64; Tilburg;30-11-2021;8:30
3118;10;14,29;16,95;1,14;2,6;74; Rotterdam;1-11-2021;17:30
3119;6;13,51;14,95;1,24;2,8;92; Eindhoven;30-11-2021;12:30
3120;7;11,65;12,95;1,2;2,3;77; Rotterdam;30-11-2021;17:30
3121;12;15,01;16,95;0,91;2,9;67; Rotterdam;1-3-2021;8:30
3122;8;18,96;21,95;1,15;3,6;87; Den Haag ('s-Gravenhage);30-11-2021;12:30
3123;6;9,08;10,95;0,77;2,3;59; Den Haag ('s-Gravenhage);30-9-2021;12:30
3124;9;18,54;21,95;1,09;3,4;70; Breda;30-11-2021;12:30
3125;7;13,44;15,95;0,7;3,2;49; Utrecht;1-2-2021;12:30
3126;12;10,34;11,95;1,2;3,9;75; Eindhoven;31-12-2021;17:30
3127;5;10,48;12,95;1,47;3,2;97; Rotterdam;31-12-2021;17:30
3128;11;12,07;13,95;0,88;2,5;67; Groningen;30-9-2021;17:30
3129;8;12,76;13,95;1,08;2,3;84; Breda;31-5-2021;12:30
3130;9;18,22;19,95;1,33;2,4;82; Utrecht;30-4-2021;12:30
3131;9;13,25;14,95;0,82;2,5;61; Utrecht;30-9-2021;8:30
3132;7;16,86;18,95;0,92;3,1;56; Tilburg;31-12-2021;17:30
3133;11;12,3;14,95;1,28;1,9;92; Eindhoven;31-5-2021;12:30
3134;2;22,34;24,95;1,44;2,2;91; Den Haag ('s-Gravenhage);30-11-2021;8:30
3135;10;13,24;14,95;1,35;3,9;89; Den Haag ('s-Gravenhage);31-12-2021;8:30
3136;11;13,87;15,95;0,99;2,4;71; Den Haag ('s-Gravenhage);30-11-2021;17:30
3137;11;26,66;29,95;1,05;2,7;66; Den Haag ('s-Gravenhage);30-9-2021;8:30
3138;8;6,89;7,95;0,86;2,4;60; Rotterdam;31-3-2021;12:30
3139;9;15,87;17,95;0,88;2;65; Nijmegen;31-5-2021;12:30
3140;13;9,57;10,95;0,88;2,5;57; Eindhoven;31-12-2021;8:30
3141;7;11,06;12,95;1,28;2;87; Den Haag ('s-Gravenhage);1-3-2021;8:30
3142;7;13,71;15,95;0,77;2,3;56; Amsterdam;31-12-2021;8:30
3143;11;11,77;13,95;1,01;2,8;68; Den Haag ('s-Gravenhage);31-12-2021;8:30
3144;11;12,2;13,95;0,59;2,8;44; Rotterdam;31-5-2021;17:30
3145;9;13;14,95;0,73;3,2;56; Rotterdam;31-12-2021;17:30
3146;4;21,69;23,95;0,87;2,4;58; Amsterdam;30-4-2021;8:30
3147;9;16,37;17,95;1,39;3,3;91; Utrecht;30-4-2021;8:30
3148;8;15,64;16,95;1,25;2,7;80; Rotterdam;30-4-2021;12:30
3149;4;18,89;21,95;1,13;2,4;69; Rotterdam;30-4-2021;17:30
3150;6;13,14;14,95;0,86;3;53; Rotterdam;31-5-2021;17:30
3151;8;16,36;18,95;0,86;3;65; Amsterdam;31-8-2021;8:30
3152;5;16,82;19,95;1,07;2,8;67; Rotterdam;30-6-2021;12:30
3153;5;8,12;8,95;1,36;3;83; Den Haag ('s-Gravenhage);1-11-2021;12:30
3154;13;12,22;14,95;0,9;2,3;59; Rotterdam;1-3-2021;17:30
3155;8;13,85;15,95;1,02;3,1;61; Den Haag ('s-Gravenhage);30-4-2021;8:30
3156;5;18,46;19,95;0,9;2,4;71; Breda;30-11-2021;12:30
3157;3;14,2;16,95;0,85;2,3;61; Eindhoven;1-11-2021;8:30
3158;11;11,72;13,95;0,95;2,8;61; Groningen;31-7-2021;17:30
3159;12;7,58;8,95;1,06;3;82; Utrecht;31-7-2021;12:30
3160;8;26,32;30,95;0,91;3,4;67; Amsterdam;1-11-2021;8:30
3161;10;13,52;14,95;0,95;2;63; Tilburg;31-12-2021;12:30
3162;7;14,67;15,95;0,62;2,4;40; Groningen;31-12-2021;12:30
3163;7;17,63;20,95;1,2;2,1;82; Rotterdam;31-12-2021;12:30
3164;5;14,6;15,95;0,81;2,9;62; Den Haag ('s-Gravenhage);30-11-2021;17:30
3165;10;8,59;9,95;0,71;3,2;55; Eindhoven;1-11-2021;8:30
3166;8;15,95;18,95;1,24;3;83; Utrecht;1-11-2021;8:30
3167;7;17,43;18,95;1,11;3,1;73; Utrecht;30-9-2021;17:30
3168;11;11,73;12,95;1,26;3,5;84; Den Haag ('s-Gravenhage);31-12-2021;12:30
3169;4;9,57;10,95;0,93;3,5;73; Groningen;30-9-2021;12:30
3170;10;8,41;9,95;1,08;1,6;72; Den Haag ('s-Gravenhage);1-11-2021;12:30
3171;8;15,87;17,95;1,32;3;85; Eindhoven;30-11-2021;12:30
3172;10;14,97;16,95;1,29;3,1;96; Den Haag ('s-Gravenhage);30-11-2021;8:30
3173;11;9,37;10,95;0,85;3;63; Groningen;1-11-2021;17:30
3174;10;20,59;23,95;1,35;2,3;82; Rotterdam;30-4-2021;12:30
3175;12;12,66;14,95;0,99;2,8;61; Den Haag ('s-Gravenhage);31-8-2021;8:30
3176;8;17,73;19,95;0,88;2,4;56; Utrecht;31-12-2021;12:30
3177;9;7,94;9,95;0,69;3,3;48; Den Haag ('s-Gravenhage);30-4-2021;8:30
3178;7;18,72;21,95;1,02;3,6;67; Rotterdam;31-12-2021;17:30
3179;8;12,42;14,95;1,29;3,1;80; Groningen;31-12-2021;12:30
3180;10;16,72;18,95;0,96;2,9;69; Eindhoven;31-12-2021;17:30
3181;10;22,04;24,95;0,64;2,7;41; Tilburg;1-11-2021;17:30
